src,trg
"boys play in soccer . dilapidated building holding big heart . how is building ? how is heart ?","G.add_edge(' boys ',' soccer ',action=' play ') newline G.add_edge(' boys ',' play ') newline G.add_edge(' building ',' holding ') newline G.add_edge(' building ',' dilapidated ') newline G.add_edge(' heart ',' big ') newline G.has_edge(' building ',' dilapidated ') newline G.has_edge(' heart ',' big ') newline"
"a woman lies down . archer draws back . is there a woman ? is there a archer ?","G.add_edge(' woman ',' down ',action=' lies ') newline G.add_edge(' woman ',' lies ') newline G.add_edge(' archer ',' back ',action=' draws ') newline G.add_edge(' archer ',' draws ') newline G.has_node(' woman ') newline G.has_node(' archer ') newline"
"fingernails unscrewing nail . younger man wearing red sunglasses . blue eyes closed adult dances .","G.add_edge(' fingernails ',' unscrewing ') newline   G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' younger ') newline G.add_edge(' sunglasses ',' red ') newline G.add_edge(' eyes ',' closed ') newline G.add_edge(' eyes ',' blue ') newline G.add_edge(' dances ',' adult ') newline"
"row holding sticks . is there a row ?","G.add_edge(' row ',' sticks ',action=' holding ') newline G.add_edge(' row ',' holding ') newline G.has_node(' row ') newline"
"shirt a cutting tomatoes .","G.add_edge(' shirt ',' tomatoes ',action=' cutting ') newline G.add_edge(' shirt ',' cutting ') newline"
"older man is parasailing . older men wearing blue dress . how is man ? how is parasailing ? how is dress ?","G.add_edge(' man ',' is ') newline G.add_edge(' man ',' older ') newline  G.add_edge(' men ',' wearing ') newline G.add_edge(' men ',' older ') newline G.add_edge(' dress ',' blue ') newline G.has_edge(' man ',' older ') newline  G.has_edge(' dress ',' blue ') newline"
"the floor another looks out . is there a floor ?","G.add_edge(' floor ',' out ',action=' looks ') newline G.add_edge(' floor ',' looks ') newline G.has_node(' floor ') newline"
"other people watching large tv . of people buying food . does people buying ?","G.add_edge(' people ',' watching ') newline G.add_edge(' people ',' other ') newline G.add_edge(' tv ',' large ') newline G.add_edge(' people ',' food ',action=' buying ') newline G.add_edge(' people ',' buying ') newline G.has_edge(' people ',' buying ') newline"
"young girl kicking large rocks . hair standing up . attire turns backward .","G.add_edge(' girl ',' kicking ') newline G.add_edge(' girl ',' young ') newline G.add_edge(' rocks ',' large ') newline G.add_edge(' hair ',' up ',action=' standing ') newline G.add_edge(' hair ',' standing ') newline G.add_edge(' attire ',' backward ',action=' turns ') newline G.add_edge(' attire ',' turns ') newline"
"people set up . young men wearing red shorts . young woman kneading yellowed dough . does people are ?","G.add_edge(' people ',' up ',action=' set ') newline G.add_edge(' people ',' set ') newline G.add_edge(' men ',' wearing ') newline G.add_edge(' men ',' young ') newline G.add_edge(' shorts ',' red ') newline G.add_edge(' woman ',' kneading ') newline G.add_edge(' woman ',' young ') newline G.add_edge(' dough ',' yellowed ') newline G.has_edge(' people ',' are ') newline"
"protective gear are leaf .","G.add_edge(' gear ',' are ') newline G.add_edge(' gear ',' protective ') newline "
"people walking down . elderly woman wearing giant sunglasses .","G.add_edge(' people ',' down ',action=' walking ') newline G.add_edge(' people ',' walking ') newline G.add_edge(' woman ',' wearing ') newline G.add_edge(' woman ',' elderly ') newline G.add_edge(' sunglasses ',' giant ') newline"
"young man wearing professional baseball . a girl for hanging upside . how is man ? how is baseball ?","G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' young ') newline G.add_edge(' baseball ',' professional ') newline G.add_edge(' girl ',' upside ',action=' hanging ') newline G.add_edge(' girl ',' hanging ') newline G.has_edge(' man ',' young ') newline G.has_edge(' baseball ',' professional ') newline"
"child sleeding down .","G.add_edge(' child ',' down ',action=' sleeding ') newline G.add_edge(' child ',' sleeding ') newline"
"glasses in holds up . blue snow using black ski . does glasses holds ?","G.add_edge(' glasses ',' up ',action=' holds ') newline G.add_edge(' glasses ',' holds ') newline G.add_edge(' snow ',' using ') newline G.add_edge(' snow ',' blue ') newline G.add_edge(' ski ',' black ') newline G.has_edge(' glasses ',' holds ') newline"
"shirt snaps photos . shorts is rock . does shirt snaps ? does shorts lies ?","G.add_edge(' shirt ',' photos ',action=' snaps ') newline G.add_edge(' shirt ',' snaps ') newline G.add_edge(' shorts ',' rock ',action=' is ') newline G.add_edge(' shorts ',' is ') newline G.has_edge(' shirt ',' snaps ') newline G.has_edge(' shorts ',' lies ') newline"
"of ladies some are together . stationary bikes are asian bicycling . does ladies are ?","G.add_edge(' ladies ',' together ',action=' are ') newline G.add_edge(' ladies ',' are ') newline G.add_edge(' bikes ',' are ') newline G.add_edge(' bikes ',' stationary ') newline G.add_edge(' bicycling ',' asian ') newline G.has_edge(' ladies ',' are ') newline"
"older man wearing same sandals . how is sandals ?","G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' older ') newline G.add_edge(' sandals ',' same ') newline G.has_edge(' sandals ',' same ') newline"
"hat while holding goggles . men riding bicycles . a man while wearing with glasses . is there a man ?","G.add_edge(' hat ',' goggles ',action=' holding ') newline G.add_edge(' hat ',' holding ') newline G.add_edge(' men ',' bicycles ',action=' riding ') newline G.add_edge(' men ',' riding ') newline G.add_edge(' man ',' glasses ',action=' wearing ') newline G.add_edge(' man ',' wearing ') newline G.has_node(' man ') newline"
"a woman whilst carrying bags . older man playing acoustic guitar . does woman walking ?","G.add_edge(' woman ',' bags ',action=' carrying ') newline G.add_edge(' woman ',' carrying ') newline G.add_edge(' man ',' playing ') newline G.add_edge(' man ',' older ') newline G.add_edge(' guitar ',' acoustic ') newline G.has_edge(' woman ',' walking ') newline"
"young ladies get chinese food . how is food ?","G.add_edge(' ladies ',' get ') newline G.add_edge(' ladies ',' young ') newline G.add_edge(' food ',' chinese ') newline G.has_edge(' food ',' chinese ') newline"
"of women setting up . with teams take center . young man wearing blue jeans . does women walking ? how is man ? how is jeans ?","G.add_edge(' women ',' up ',action=' setting ') newline G.add_edge(' women ',' setting ') newline G.add_edge(' teams ',' center ',action=' take ') newline G.add_edge(' teams ',' take ') newline G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' young ') newline G.add_edge(' jeans ',' blue ') newline G.has_edge(' women ',' walking ') newline G.has_edge(' man ',' young ') newline G.has_edge(' jeans ',' blue ') newline"
"snow covered grass . gray shirt playing orange roller . does snow covered ?","G.add_edge(' snow ',' grass ',action=' covered ') newline G.add_edge(' snow ',' covered ') newline G.add_edge(' shirt ',' playing ') newline G.add_edge(' shirt ',' gray ') newline G.add_edge(' roller ',' orange ') newline G.has_edge(' snow ',' covered ') newline"
"a restaurant ordering food .","G.add_edge(' restaurant ',' food ',action=' ordering ') newline G.add_edge(' restaurant ',' ordering ') newline"
"a snowboarder does stunt . a girl while hanging upside . ponchos play favorite music . is there a relation between snowboarder and stunt ? does girl playing ?","G.add_edge(' snowboarder ',' stunt ',action=' does ') newline G.add_edge(' snowboarder ',' does ') newline G.add_edge(' girl ',' upside ',action=' hanging ') newline G.add_edge(' girl ',' hanging ') newline G.add_edge(' ponchos ',' play ') newline  G.add_edge(' music ',' favorite ') newline G.has_edge(' snowboarder ',' stunt ') newline G.has_edge(' girl ',' playing ') newline"
"red shirts cut large branches .","G.add_edge(' shirts ',' cut ') newline G.add_edge(' shirts ',' red ') newline G.add_edge(' branches ',' large ') newline"
"young women wearing green coats . with gloves stoking coals . how is coats ? is there a gloves ?","G.add_edge(' women ',' wearing ') newline G.add_edge(' women ',' young ') newline G.add_edge(' coats ',' green ') newline G.add_edge(' gloves ',' coals ',action=' stoking ') newline G.add_edge(' gloves ',' stoking ') newline G.has_edge(' coats ',' green ') newline G.has_node(' gloves ') newline"
"a man on is outdoors . heads walk up . of people having fun . is there a man ? does people having ?","G.add_edge(' man ',' outdoors ',action=' is ') newline G.add_edge(' man ',' is ') newline G.add_edge(' heads ',' up ',action=' walk ') newline G.add_edge(' heads ',' walk ') newline G.add_edge(' people ',' fun ',action=' having ') newline G.add_edge(' people ',' having ') newline G.has_node(' man ') newline G.has_edge(' people ',' having ') newline"
"blue dress hangs nice clothes . people lined up .","G.add_edge(' dress ',' hangs ') newline G.add_edge(' dress ',' blue ') newline G.add_edge(' clothes ',' nice ') newline G.add_edge(' people ',' up ',action=' lined ') newline G.add_edge(' people ',' lined ') newline"
"sunglasses walk together . shorts runs forward . man after picking up .","G.add_edge(' sunglasses ',' together ',action=' walk ') newline G.add_edge(' sunglasses ',' walk ') newline G.add_edge(' shorts ',' forward ',action=' runs ') newline G.add_edge(' shorts ',' runs ') newline G.add_edge(' man ',' up ',action=' picking ') newline G.add_edge(' man ',' picking ') newline"
"flowered outfit playing yellow tennis . a man in wearing ice . how is tennis ? does man wearing ?","G.add_edge(' outfit ',' playing ') newline G.add_edge(' outfit ',' flowered ') newline G.add_edge(' tennis ',' yellow ') newline G.add_edge(' man ',' ice ',action=' wearing ') newline G.add_edge(' man ',' wearing ') newline G.has_edge(' tennis ',' yellow ') newline G.has_edge(' man ',' wearing ') newline"
"adults stand up . dirt covered course . girl on is modeling . is there a relation between adults and up ?","G.add_edge(' adults ',' up ',action=' stand ') newline G.add_edge(' adults ',' stand ') newline G.add_edge(' dirt ',' course ',action=' covered ') newline G.add_edge(' dirt ',' covered ') newline G.add_edge(' girl ',' modeling ',action=' is ') newline G.add_edge(' girl ',' is ') newline G.has_edge(' adults ',' up ') newline"
"vests all sitting down . blond-haired girl watches red sports . how is girl ? how is sports ?","G.add_edge(' vests ',' down ',action=' sitting ') newline G.add_edge(' vests ',' sitting ') newline G.add_edge(' girl ',' watches ') newline G.add_edge(' girl ',' blond-haired ') newline G.add_edge(' sports ',' red ') newline G.has_edge(' girl ',' blond-haired ') newline G.has_edge(' sports ',' red ') newline"
"young boys are huge skateboarding . how is skateboarding ?","G.add_edge(' boys ',' are ') newline G.add_edge(' boys ',' young ') newline G.add_edge(' skateboarding ',' huge ') newline G.has_edge(' skateboarding ',' huge ') newline"
"small farm planting chinese rice . other men wearing blue shorts . with shawl sit down . how is shorts ? is there a shawl ?","G.add_edge(' farm ',' planting ') newline G.add_edge(' farm ',' small ') newline G.add_edge(' rice ',' chinese ') newline G.add_edge(' men ',' wearing ') newline G.add_edge(' men ',' other ') newline G.add_edge(' shorts ',' blue ') newline G.add_edge(' shawl ',' down ',action=' sit ') newline G.add_edge(' shawl ',' sit ') newline G.has_edge(' shorts ',' blue ') newline G.has_node(' shawl ') newline"
"dock while looking out .","G.add_edge(' dock ',' out ',action=' looking ') newline G.add_edge(' dock ',' looking ') newline"
"of children sit down . helmeted man taking multiple pictures .","G.add_edge(' children ',' down ',action=' sit ') newline G.add_edge(' children ',' sit ') newline G.add_edge(' man ',' taking ') newline G.add_edge(' man ',' helmeted ') newline G.add_edge(' pictures ',' multiple ') newline"
"of men play baseball . arab dress holding roses . shirtless man wearing black swimming . is there a relation between men and baseball ? how is roses ?","G.add_edge(' men ',' baseball ',action=' play ') newline G.add_edge(' men ',' play ') newline G.add_edge(' dress ',' holding ') newline G.add_edge(' dress ',' arab ') newline  G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' shirtless ') newline G.add_edge(' swimming ',' black ') newline G.has_edge(' men ',' baseball ') newline "
"short medium sized sunlit room . man while sitting together . the stove while preparing food . how is medium ? how is room ? does stove wearing ?","G.add_edge(' medium ',' sized ') newline G.add_edge(' medium ',' short ') newline G.add_edge(' room ',' sunlit ') newline G.add_edge(' man ',' together ',action=' sitting ') newline G.add_edge(' man ',' sitting ') newline G.add_edge(' stove ',' food ',action=' preparing ') newline G.add_edge(' stove ',' preparing ') newline G.has_edge(' medium ',' short ') newline G.has_edge(' room ',' sunlit ') newline G.has_edge(' stove ',' wearing ') newline"
"of dogs play together . cement in mixing truck . does cement mixing ?","G.add_edge(' dogs ',' together ',action=' play ') newline G.add_edge(' dogs ',' play ') newline G.add_edge(' cement ',' truck ',action=' mixing ') newline G.add_edge(' cement ',' mixing ') newline G.has_edge(' cement ',' mixing ') newline"
"several people walk net past . a rock climbing gear . is there a relation between rock and gear ?","G.add_edge(' people ',' walk ') newline G.add_edge(' people ',' several ') newline G.add_edge(' past ',' net ') newline G.add_edge(' rock ',' gear ',action=' climbing ') newline G.add_edge(' rock ',' climbing ') newline G.has_edge(' rock ',' gear ') newline"
"swimsuits play sand .","G.add_edge(' swimsuits ',' sand ',action=' play ') newline G.add_edge(' swimsuits ',' play ') newline"
"live rodeo riding naked cowboy . of participants a throw confetti . people a hang out . how is cowboy ? is there a participants ? does people walk ?","G.add_edge(' rodeo ',' riding ') newline G.add_edge(' rodeo ',' live ') newline G.add_edge(' cowboy ',' naked ') newline G.add_edge(' participants ',' confetti ',action=' throw ') newline G.add_edge(' participants ',' throw ') newline G.add_edge(' people ',' out ',action=' hang ') newline G.add_edge(' people ',' hang ') newline G.has_edge(' cowboy ',' naked ') newline G.has_node(' participants ') newline G.has_edge(' people ',' walk ') newline"
"the man wearing in sunglasses .","G.add_edge(' man ',' sunglasses ',action=' wearing ') newline G.add_edge(' man ',' wearing ') newline"
"foreign beach making funny faces . table containing aluminum . how is faces ? does table containing ?","G.add_edge(' beach ',' making ') newline G.add_edge(' beach ',' foreign ') newline G.add_edge(' faces ',' funny ') newline G.add_edge(' table ',' aluminum ',action=' containing ') newline G.add_edge(' table ',' containing ') newline G.has_edge(' faces ',' funny ') newline G.has_edge(' table ',' containing ') newline"
"a mat the washing clothes .","G.add_edge(' mat ',' clothes ',action=' washing ') newline G.add_edge(' mat ',' washing ') newline"
"male kid doing amazing tricks . polka dotted hat . does polka dotted ?","G.add_edge(' kid ',' doing ') newline G.add_edge(' kid ',' male ') newline G.add_edge(' tricks ',' amazing ') newline G.add_edge(' polka ',' hat ',action=' dotted ') newline G.add_edge(' polka ',' dotted ') newline G.has_edge(' polka ',' dotted ') newline"
"egret takes flight . a kitchen preparing food . dresses attending something . is there a relation between dresses and something ?","G.add_edge(' egret ',' flight ',action=' takes ') newline G.add_edge(' egret ',' takes ') newline G.add_edge(' kitchen ',' food ',action=' preparing ') newline G.add_edge(' kitchen ',' preparing ') newline G.add_edge(' dresses ',' something ',action=' attending ') newline G.add_edge(' dresses ',' attending ') newline G.has_edge(' dresses ',' something ') newline"
"child runs barefoot . grass while wearing hats . in uniforms listens attentively . is there a child ?","G.add_edge(' child ',' barefoot ',action=' runs ') newline G.add_edge(' child ',' runs ') newline G.add_edge(' grass ',' hats ',action=' wearing ') newline G.add_edge(' grass ',' wearing ') newline G.add_edge(' uniforms ',' attentively ',action=' listens ') newline G.add_edge(' uniforms ',' listens ') newline G.has_node(' child ') newline"
"bicycler jumping over .","G.add_edge(' bicycler ',' over ',action=' jumping ') newline G.add_edge(' bicycler ',' jumping ') newline"
"with snow covered hillside . asian man wearing black glasses . is there a snow ?","G.add_edge(' snow ',' hillside ',action=' covered ') newline G.add_edge(' snow ',' covered ') newline G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' asian ') newline G.add_edge(' glasses ',' black ') newline G.has_node(' snow ') newline"
"small band plays various instruments .","G.add_edge(' band ',' plays ') newline G.add_edge(' band ',' small ') newline G.add_edge(' instruments ',' various ') newline"
"mechanical contraption involving different objects .","G.add_edge(' contraption ',' involving ') newline G.add_edge(' contraption ',' mechanical ') newline G.add_edge(' objects ',' different ') newline"
"another man jumps up . a shirt crossing street . does man clad ? is there a shirt ?","G.add_edge(' man ',' up ',action=' jumps ') newline G.add_edge(' man ',' jumps ') newline G.add_edge(' shirt ',' street ',action=' crossing ') newline G.add_edge(' shirt ',' crossing ') newline G.has_edge(' man ',' clad ') newline G.has_node(' shirt ') newline"
"blue sunglasses juggling fresh lemons . the street the passing cars . trellis wearing red shorts . how is shorts ?","G.add_edge(' sunglasses ',' juggling ') newline G.add_edge(' sunglasses ',' blue ') newline G.add_edge(' lemons ',' fresh ') newline G.add_edge(' street ',' cars ',action=' passing ') newline G.add_edge(' street ',' passing ') newline G.add_edge(' trellis ',' wearing ') newline  G.add_edge(' shorts ',' red ') newline G.has_edge(' shorts ',' red ') newline"
"no shirts riding mountain . white lady wearing black glasses . is there a relation between shirts and mountain ?","G.add_edge(' shirts ',' mountain ',action=' riding ') newline G.add_edge(' shirts ',' riding ') newline G.add_edge(' lady ',' wearing ') newline G.add_edge(' lady ',' white ') newline G.add_edge(' glasses ',' black ') newline G.has_edge(' shirts ',' mountain ') newline"
"military men grinding red stone .","G.add_edge(' men ',' grinding ') newline G.add_edge(' men ',' military ') newline G.add_edge(' stone ',' red ') newline"
"dresses while holding folders . young man playing miniature golf . does dresses are ?","G.add_edge(' dresses ',' folders ',action=' holding ') newline G.add_edge(' dresses ',' holding ') newline G.add_edge(' man ',' playing ') newline G.add_edge(' man ',' young ') newline G.add_edge(' golf ',' miniature ') newline G.has_edge(' dresses ',' are ') newline"
"bikers head down . rainbow striped shirt . a boy la takes something . is there a bikers ? is there a relation between rainbow and shirt ?","G.add_edge(' bikers ',' down ',action=' head ') newline G.add_edge(' bikers ',' head ') newline G.add_edge(' rainbow ',' shirt ',action=' striped ') newline G.add_edge(' rainbow ',' striped ') newline G.add_edge(' boy ',' something ',action=' takes ') newline G.add_edge(' boy ',' takes ') newline G.has_node(' bikers ') newline G.has_edge(' rainbow ',' shirt ') newline"
"white shirts cut large branches . shirt dumps water . how is branches ? does shirt is ?","G.add_edge(' shirts ',' cut ') newline G.add_edge(' shirts ',' white ') newline G.add_edge(' branches ',' large ') newline G.add_edge(' shirt ',' water ',action=' dumps ') newline G.add_edge(' shirt ',' dumps ') newline G.has_edge(' branches ',' large ') newline G.has_edge(' shirt ',' is ') newline"
"of men working together . woman holds up . archer draws back .","G.add_edge(' men ',' together ',action=' working ') newline G.add_edge(' men ',' working ') newline G.add_edge(' woman ',' up ',action=' holds ') newline G.add_edge(' woman ',' holds ') newline G.add_edge(' archer ',' back ',action=' draws ') newline G.add_edge(' archer ',' draws ') newline"
"roof under drying cloths .","G.add_edge(' roof ',' cloths ',action=' drying ') newline G.add_edge(' roof ',' drying ') newline"
"brown donkey drawn horse-drawn cart . woman plays music . does woman wearing ?","G.add_edge(' donkey ',' drawn ') newline G.add_edge(' donkey ',' brown ') newline G.add_edge(' cart ',' horse-drawn ') newline G.add_edge(' woman ',' music ',action=' plays ') newline G.add_edge(' woman ',' plays ') newline G.has_edge(' woman ',' wearing ') newline"
"dusty ground making frying something . how is something ?","G.add_edge(' ground ',' making ') newline G.add_edge(' ground ',' dusty ') newline G.add_edge(' something ',' frying ') newline G.has_edge(' something ',' frying ') newline"
"holding crying baby .","G.add_edge(' holding ',' baby ',action=' crying ') newline G.add_edge(' holding ',' crying ') newline"
"inground pool wearing spiderman . floor as looking up . a carriage another walks right . how is pool ? how is spiderman ? does floor looking ? does carriage walks ?","G.add_edge(' pool ',' wearing ') newline G.add_edge(' pool ',' inground ') newline  G.add_edge(' floor ',' up ',action=' looking ') newline G.add_edge(' floor ',' looking ') newline G.add_edge(' carriage ',' right ',action=' walks ') newline G.add_edge(' carriage ',' walks ') newline G.has_edge(' pool ',' inground ') newline  G.has_edge(' floor ',' looking ') newline G.has_edge(' carriage ',' walks ') newline"
"man bends down . young man wearing multicolored suspenders .","G.add_edge(' man ',' down ',action=' bends ') newline G.add_edge(' man ',' bends ') newline G.add_edge(' man ',' wearing ') newline G.add_edge(' man ',' young ') newline G.add_edge(' suspenders ',' multicolored ') newline"
"bus traveling down .","G.add_edge(' bus ',' down ',action=' traveling ') newline G.add_edge(' bus ',' traveling ') newline"
"other soldiers playing many flutes . how is soldiers ? how is flutes ?","G.add_edge(' soldiers ',' playing ') newline G.add_edge(' soldiers ',' other ') newline G.add_edge(' flutes ',' many ') newline G.has_edge(' soldiers ',' other ') newline G.has_edge(' flutes ',' many ') newline"
"crane a flying just . older couple walk left hand . colorful beach wearing red shorts . how is hand ?","G.add_edge(' crane ',' just ',action=' flying ') newline G.add_edge(' crane ',' flying ') newline G.add_edge(' couple ',' walk ') newline G.add_edge(' couple ',' older ') newline G.add_edge(' hand ',' left ') newline G.add_edge(' beach ',' wearing ') newline G.add_edge(' beach ',' colorful ') newline G.add_edge(' shorts ',' red ') newline G.has_edge(' hand ',' left ') newline"
"a snowboarder flips upside . is there a relation between snowboarder and upside ?","G.add_edge(' snowboarder ',' upside ',action=' flips ') newline G.add_edge(' snowboarder ',' flips ') newline G.has_edge(' snowboarder ',' upside ') newline"
"glasses wearing flannel . of people over working together . no pants that sells fruit . is there a relation between people and together ?","G.add_edge(' glasses ',' flannel ',action=' wearing ') newline G.add_edge(' glasses ',' wearing ') newline G.add_edge(' people ',' together ',action=' working ') newline G.add_edge(' people ',' working ') newline G.add_edge(' pants ',' fruit ',action=' sells ') newline G.add_edge(' pants ',' sells ') newline G.has_edge(' people ',' together ') newline"
